question_id,question,ground_truth,contexts,evolution_type,answer,retrieved_contexts,context_ids,rag_latency_ms,rag_model,faithfulness,answer_relevancy,context_precision,context_recall
11,How does RAGAS faithfulness evaluate an answer?,A correct answer should explain faithfulness in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses faithfulness as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",simple,Faithfulness checks whether the answer is grounded in retrieved context [1].,"[""# Sample RAG Corpus This sample corpus is used for the offline Lab 24 implementation. VinUniversity AICB labs teach retrieval augmented generation, evaluation, guardrails, and production monitoring. RAGAS metrics include faithfulness, answer relevancy, context precision, and context recall. Faithfulness checks whether the answer is grounded in retrieved context. Answer relevancy checks whether the response addresses the question. Context precision checks whether retrieved chunks are useful. Context recall checks whether the required evidence was retrieved. LLM-as-judge workflows compare answers pairwise and can also score absolute quality with rubrics. Common judge biases include position bias, verbosity bias, self-enhancement bias, and format bias. Swap-and-average helps reduce position bias. Input guardrails should redact personal information, validate topic scope, and detect prompt injection. Output guardrails should screen unsafe responses before returning them to the user.""]","[""docs/knowledge_base.md#1""]",544.5,llama3.2:latest,0.983,0.783,0.983,0.983
12,What does answer relevancy measure in RAGAS?,A correct answer should explain answer relevancy in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses answer relevancy as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",simple,Answer relevancy measures whether the response addresses the question. [1],"[""# Sample RAG Corpus This sample corpus is used for the offline Lab 24 implementation. VinUniversity AICB labs teach retrieval augmented generation, evaluation, guardrails, and production monitoring. RAGAS metrics include faithfulness, answer relevancy, context precision, and context recall. Faithfulness checks whether the answer is grounded in retrieved context. Answer relevancy checks whether the response addresses the question. Context precision checks whether retrieved chunks are useful. Context recall checks whether the required evidence was retrieved. LLM-as-judge workflows compare answers pairwise and can also score absolute quality with rubrics. Common judge biases include position bias, verbosity bias, self-enhancement bias, and format bias. Swap-and-average helps reduce position bias. Input guardrails should redact personal information, validate topic scope, and detect prompt injection. Output guardrails should screen unsafe responses before returning them to the user.""]","[""docs/knowledge_base.md#1""]",526.1,llama3.2:latest,0.96,0.76,0.96,0.96
13,Why is context precision important for retrieval?,A correct answer should explain context precision in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses context precision as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",simple,Context precision is important for retrieval because it checks whether retrieved chunks are useful [1].,"[""# Sample RAG Corpus This sample corpus is used for the offline Lab 24 implementation. VinUniversity AICB labs teach retrieval augmented generation, evaluation, guardrails, and production monitoring. RAGAS metrics include faithfulness, answer relevancy, context precision, and context recall. Faithfulness checks whether the answer is grounded in retrieved context. Answer relevancy checks whether the response addresses the question. Context precision checks whether retrieved chunks are useful. Context recall checks whether the required evidence was retrieved. LLM-as-judge workflows compare answers pairwise and can also score absolute quality with rubrics. Common judge biases include position bias, verbosity bias, self-enhancement bias, and format bias. Swap-and-average helps reduce position bias. Input guardrails should redact personal information, validate topic scope, and detect prompt injection. Output guardrails should screen unsafe responses before returning them to the user.""]","[""docs/knowledge_base.md#1""]",607.3,llama3.2:latest,0.982,0.982,0.982,0.982
14,What does context recall show about evidence retrieval?,A correct answer should explain context recall in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses context recall as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",simple,Context recall shows whether the required evidence was retrieved [1].,"[""# Sample RAG Corpus This sample corpus is used for the offline Lab 24 implementation. VinUniversity AICB labs teach retrieval augmented generation, evaluation, guardrails, and production monitoring. RAGAS metrics include faithfulness, answer relevancy, context precision, and context recall. Faithfulness checks whether the answer is grounded in retrieved context. Answer relevancy checks whether the response addresses the question. Context precision checks whether retrieved chunks are useful. Context recall checks whether the required evidence was retrieved. LLM-as-judge workflows compare answers pairwise and can also score absolute quality with rubrics. Common judge biases include position bias, verbosity bias, self-enhancement bias, and format bias. Swap-and-average helps reduce position bias. Input guardrails should redact personal information, validate topic scope, and detect prompt injection. Output guardrails should screen unsafe responses before returning them to the user.""]","[""docs/knowledge_base.md#1""]",484.6,llama3.2:latest,0.999,0.856,0.999,0.999
15,Why should input guardrails redact personal information?,A correct answer should explain PII redaction in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses PII redaction as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",simple,Input guardrails should redact personal information to protect users' privacy and maintain confidentiality [2].,"[""# Sample RAG Corpus This sample corpus is used for the offline Lab 24 implementation. VinUniversity AICB labs teach retrieval augmented generation, evaluation, guardrails, and production monitoring. RAGAS metrics include faithfulness, answer relevancy, context precision, and context recall. Faithfulness checks whether the answer is grounded in retrieved context. Answer relevancy checks whether the response addresses the question. Context precision checks whether retrieved chunks are useful. Context recall checks whether the required evidence was retrieved. LLM-as-judge workflows compare answers pairwise and can also score absolute quality with rubrics. Common judge biases include position bias, verbosity bias, self-enhancement bias, and format bias. Swap-and-average helps reduce position bias. Input guardrails should redact personal information, validate topic scope, and detect prompt injection. Output guardrails should screen unsafe responses before returning them to the user."", ""Swap-and-average helps reduce position bias. Input guardrails should redact personal information, validate topic scope, and detect prompt injection. Output guardrails should screen unsafe responses before returning them to the user. Latency must be measured per layer to understand overhead. Production blueprints should define SLOs, architecture, alert playbooks, and cost estimates.""]","[""docs/knowledge_base.md#1"", ""docs/knowledge_base.md#2""]",1070.2,llama3.2:latest,0.973,0.973,0.906,0.773
16,What is the purpose of a topic scope validator?,A correct answer should explain topic validator in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses topic validator as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",simple,A topic scope validator helps ensure that the input prompt is relevant to the task at hand by detecting whether the prompt contains information outside the intended topic. [2],"[""# Sample RAG Corpus This sample corpus is used for the offline Lab 24 implementation. VinUniversity AICB labs teach retrieval augmented generation, evaluation, guardrails, and production monitoring. RAGAS metrics include faithfulness, answer relevancy, context precision, and context recall. Faithfulness checks whether the answer is grounded in retrieved context. Answer relevancy checks whether the response addresses the question. Context precision checks whether retrieved chunks are useful. Context recall checks whether the required evidence was retrieved. LLM-as-judge workflows compare answers pairwise and can also score absolute quality with rubrics. Common judge biases include position bias, verbosity bias, self-enhancement bias, and format bias. Swap-and-average helps reduce position bias. Input guardrails should redact personal information, validate topic scope, and detect prompt injection. Output guardrails should screen unsafe responses before returning them to the user."", ""Swap-and-average helps reduce position bias. Input guardrails should redact personal information, validate topic scope, and detect prompt injection. Output guardrails should screen unsafe responses before returning them to the user. Latency must be measured per layer to understand overhead. Production blueprints should define SLOs, architecture, alert playbooks, and cost estimates.""]","[""docs/knowledge_base.md#1"", ""docs/knowledge_base.md#2""]",1143.0,llama3.2:latest,0.962,0.962,0.629,0.962
17,How does an output guardrail protect users?,A correct answer should explain Llama Guard in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses Llama Guard as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",simple,An output guardrail protects users by screening unsafe responses before returning them to the user [2].,"[""# Sample RAG Corpus This sample corpus is used for the offline Lab 24 implementation. VinUniversity AICB labs teach retrieval augmented generation, evaluation, guardrails, and production monitoring. RAGAS metrics include faithfulness, answer relevancy, context precision, and context recall. Faithfulness checks whether the answer is grounded in retrieved context. Answer relevancy checks whether the response addresses the question. Context precision checks whether retrieved chunks are useful. Context recall checks whether the required evidence was retrieved. LLM-as-judge workflows compare answers pairwise and can also score absolute quality with rubrics. Common judge biases include position bias, verbosity bias, self-enhancement bias, and format bias. Swap-and-average helps reduce position bias. Input guardrails should redact personal information, validate topic scope, and detect prompt injection. Output guardrails should screen unsafe responses before returning them to the user."", ""Swap-and-average helps reduce position bias. Input guardrails should redact personal information, validate topic scope, and detect prompt injection. Output guardrails should screen unsafe responses before returning them to the user. Latency must be measured per layer to understand overhead. Production blueprints should define SLOs, architecture, alert playbooks, and cost estimates.""]","[""docs/knowledge_base.md#1"", ""docs/knowledge_base.md#2""]",800.6,llama3.2:latest,0.992,0.992,0.421,0.792
18,Why should guardrail latency be benchmarked?,A correct answer should explain latency in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses latency as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",simple,"Guardrail latency should be benchmarked because it helps measure the overhead of each layer in the model, allowing for a better understanding of the overall latency of the system. [1]","[""Swap-and-average helps reduce position bias. Input guardrails should redact personal information, validate topic scope, and detect prompt injection. Output guardrails should screen unsafe responses before returning them to the user. Latency must be measured per layer to understand overhead. Production blueprints should define SLOs, architecture, alert playbooks, and cost estimates.""]","[""docs/knowledge_base.md#2""]",1448.1,llama3.2:latest,0.662,0.995,0.25,0.25
19,What should an audit log capture in a guarded RAG system?,A correct answer should explain audit log in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses audit log as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",simple,"An audit log in a guarded RAG system should capture changes to input guardrails, such as redaction of personal information, validation of topic scope, and detection of prompt injection [2].","[""# Sample RAG Corpus This sample corpus is used for the offline Lab 24 implementation. VinUniversity AICB labs teach retrieval augmented generation, evaluation, guardrails, and production monitoring. RAGAS metrics include faithfulness, answer relevancy, context precision, and context recall. Faithfulness checks whether the answer is grounded in retrieved context. Answer relevancy checks whether the response addresses the question. Context precision checks whether retrieved chunks are useful. Context recall checks whether the required evidence was retrieved. LLM-as-judge workflows compare answers pairwise and can also score absolute quality with rubrics. Common judge biases include position bias, verbosity bias, self-enhancement bias, and format bias. Swap-and-average helps reduce position bias. Input guardrails should redact personal information, validate topic scope, and detect prompt injection. Output guardrails should screen unsafe responses before returning them to the user.""]","[""docs/knowledge_base.md#1""]",1861.5,llama3.2:latest,0.965,0.965,0.632,0.765
20,Why are SLOs useful for production RAG monitoring?,A correct answer should explain SLO in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses SLO as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",simple,"SLOs (Service Level Objectives) are useful for production RAG monitoring because they provide a clear definition of the acceptable performance level for the system, allowing for effective monitoring and evaluation of the system's reliability and responsiveness. This enables the identification of potential issues before they impact users, and helps to ensure that the system meets the required standards for quality and performance.

[1]","[""# Sample RAG Corpus This sample corpus is used for the offline Lab 24 implementation. VinUniversity AICB labs teach retrieval augmented generation, evaluation, guardrails, and production monitoring. RAGAS metrics include faithfulness, answer relevancy, context precision, and context recall. Faithfulness checks whether the answer is grounded in retrieved context. Answer relevancy checks whether the response addresses the question. Context precision checks whether retrieved chunks are useful. Context recall checks whether the required evidence was retrieved. LLM-as-judge workflows compare answers pairwise and can also score absolute quality with rubrics. Common judge biases include position bias, verbosity bias, self-enhancement bias, and format bias. Swap-and-average helps reduce position bias. Input guardrails should redact personal information, validate topic scope, and detect prompt injection. Output guardrails should screen unsafe responses before returning them to the user."", ""Swap-and-average helps reduce position bias. Input guardrails should redact personal information, validate topic scope, and detect prompt injection. Output guardrails should screen unsafe responses before returning them to the user. Latency must be measured per layer to understand overhead. Production blueprints should define SLOs, architecture, alert playbooks, and cost estimates.""]","[""docs/knowledge_base.md#1"", ""docs/knowledge_base.md#2""]",2962.9,llama3.2:latest,0.683,0.969,0.661,0.858
21,How does RAGAS faithfulness evaluate an answer?,A correct answer should explain faithfulness in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses faithfulness as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",simple,Faithfulness checks whether the answer is grounded in retrieved context [1].,"[""# Sample RAG Corpus This sample corpus is used for the offline Lab 24 implementation. VinUniversity AICB labs teach retrieval augmented generation, evaluation, guardrails, and production monitoring. RAGAS metrics include faithfulness, answer relevancy, context precision, and context recall. Faithfulness checks whether the answer is grounded in retrieved context. Answer relevancy checks whether the response addresses the question. Context precision checks whether retrieved chunks are useful. Context recall checks whether the required evidence was retrieved. LLM-as-judge workflows compare answers pairwise and can also score absolute quality with rubrics. Common judge biases include position bias, verbosity bias, self-enhancement bias, and format bias. Swap-and-average helps reduce position bias. Input guardrails should redact personal information, validate topic scope, and detect prompt injection. Output guardrails should screen unsafe responses before returning them to the user.""]","[""docs/knowledge_base.md#1""]",583.4,llama3.2:latest,0.998,0.798,0.998,0.998
22,What does answer relevancy measure in RAGAS?,A correct answer should explain answer relevancy in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses answer relevancy as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",simple,Answer relevancy measures whether the response addresses the question [1].,"[""# Sample RAG Corpus This sample corpus is used for the offline Lab 24 implementation. VinUniversity AICB labs teach retrieval augmented generation, evaluation, guardrails, and production monitoring. RAGAS metrics include faithfulness, answer relevancy, context precision, and context recall. Faithfulness checks whether the answer is grounded in retrieved context. Answer relevancy checks whether the response addresses the question. Context precision checks whether retrieved chunks are useful. Context recall checks whether the required evidence was retrieved. LLM-as-judge workflows compare answers pairwise and can also score absolute quality with rubrics. Common judge biases include position bias, verbosity bias, self-enhancement bias, and format bias. Swap-and-average helps reduce position bias. Input guardrails should redact personal information, validate topic scope, and detect prompt injection. Output guardrails should screen unsafe responses before returning them to the user.""]","[""docs/knowledge_base.md#1""]",557.5,llama3.2:latest,0.986,0.786,0.986,0.986
23,Why is context precision important for retrieval?,A correct answer should explain context precision in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses context precision as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",simple,Context precision is important for retrieval because it checks whether retrieved chunks are useful [1].,"[""# Sample RAG Corpus This sample corpus is used for the offline Lab 24 implementation. VinUniversity AICB labs teach retrieval augmented generation, evaluation, guardrails, and production monitoring. RAGAS metrics include faithfulness, answer relevancy, context precision, and context recall. Faithfulness checks whether the answer is grounded in retrieved context. Answer relevancy checks whether the response addresses the question. Context precision checks whether retrieved chunks are useful. Context recall checks whether the required evidence was retrieved. LLM-as-judge workflows compare answers pairwise and can also score absolute quality with rubrics. Common judge biases include position bias, verbosity bias, self-enhancement bias, and format bias. Swap-and-average helps reduce position bias. Input guardrails should redact personal information, validate topic scope, and detect prompt injection. Output guardrails should screen unsafe responses before returning them to the user.""]","[""docs/knowledge_base.md#1""]",813.9,llama3.2:latest,0.96,0.96,0.96,0.96
24,What does context recall show about evidence retrieval?,A correct answer should explain context recall in the Lab 24 RAG evaluation and guardrail system.,"Lab 24 uses context recall as part of a production-ready RAG evaluation and guardrail stack. The system measures quality, blocks unsafe input/output, and reports latency and cost.",simple,Context recall shows whether the required evidence was retrieved [1].,"[""# Sample RAG Corpus This sample corpus is used for the offline Lab 24 implementation. VinUniversity AICB labs teach retrieval augmented generation, evaluation, guardrails, and production monitoring. RAGAS metrics include faithfulness, answer relevancy, context precision, and context recall. Faithfulness checks whether the answer is grounded in retrieved context. Answer relevancy checks whether the response addresses the question. Context precision checks whether retrieved chunks are useful. Context recall checks whether the required evidence was retrieved. LLM-as-judge workflows compare answers pairwise and can also score absolute quality with rubrics. Common judge biases include position bias, verbosity bias, self-enhancement bias, and format bias. Swap-and-average helps reduce position bias. Input guardrails should redact personal information, validate topic scope, and detect prompt injection. Output guardrails should screen unsafe responses before returning them to the user.""]","[""docs/knowledge_base.md#1""]",669.6,llama3.2:latest,0.979,0.836,0.979,0.979
